AFDr38	AFDr39	AIMr193	AINr185	ASIr154	ASIr155	AVKr110	AVKr112	AWBr52	BAGr119	PHAr206	PVMr126	PVPr3	PVQr236	RICr135	RIMr224	RISr131	SMBr196	VCr140	VCr142
WBGene00000001	115	86	91	130	0	276	101	242	15	30	104	30	255	142	103	153	24	136	43	431
WBGene00000007	7	1	26	3	0	29	34	16	3	2	12	2	1	77	82	19	1	6	0	4
WBGene00000013	0	0	5	0	0	9	4	23	0	0	10	1	6	5	9	6	0	0	0	5
WBGene00000021	3	0	7	0	0	28	5	3	2	1	16	0	0	6	5	1	1	3	0	1
WBGene00000023	6	8	38	6	0	194	29	25	6	9	99	3	0	25	46	78	0	12	8	9
WBGene00000024	4	4	236	11	0	57	48	3	2	1	129	11	18	12	7	429	0	3	3	1
WBGene00000029	1	2	180	26	0	57	16	3	4	5	116	12	4	34	13	346	0	9	0	10
WBGene00000034	4	4	156	14	18	129	108	58	13	2	156	41	10	11	19	336	8	10	20	34
WBGene00000040	124	74	391	334	66	746	839	623	102	66	461	112	279	2767	1833	406	109	190	87	518
WBGene00000041	1528	1682	1419	2224	154	2134	2727	2305	377	423	1868	389	1559	6942	3893	1984	258	1094	357	1918
WBGene00000045	4	4	4	10	0	6	2	6	1	1	2	1	21	6	4	468	0	6	0	1
WBGene00000049	5	3	1	8	0	17	6	9	0	0	8	4	70	4	5	7	0	5	1	22
WBGene00000051	137	309	81	418	0	129	58	170	7	50	50	84	1008	73	59	211	52	583	22	327
WBGene00000053	0	1	13	20	0	52	3	4	3	2	6	1	195	13	5	15	0	20	0	8
WBGene00000063	372	353	1888	860	303	4812	4121	3767	217	251	4803	608	3197	14142	6134	5290	335	736	678	3961
WBGene00000064	1255	765	1532	2462	1158	3918	3665	5338	258	943	4137	913	7384	7250	5370	2563	827	1752	1246	7033
WBGene00000065	557	660	3062	1678	321	6036	5069	4607	294	381	5892	534	5147	18692	6976	6342	370	2122	2110	8949
WBGene00000066	4744	5513	7970	10201	3285	22262	18681	19493	1518	2418	24399	3672	61729	58788	21324	15742	2642	12121	10358	43247
WBGene00000075	18	8	17	30	20	118	37	47	5	5	40	10	34	110	61	31	2	59	20	63
WBGene00000080	79	41	111	140	0	280	114	165	14	30	96	40	125	118	116	191	16	115	36	274
WBGene00000081	47	27	52	54	5	124	212	136	29	13	229	60	70	598	473	192	24	12	48	318
WBGene00000095	115	107	95	193	6	238	81	217	22	32	79	40	190	158	106	155	24	165	72	524
WBGene00000097	210	164	160	246	88	745	1059	1800	14	285	270	124	2489	503	699	277	161	419	209	2011
WBGene00000098	47	21	160	43	0	328	259	118	20	8	130	28	32	259	294	177	15	36	28	172
WBGene00000099	8	6	35	11	0	89	49	21	7	4	32	7	4	60	67	81	8	10	11	37
WBGene00000100	347	399	761	252	89	1382	766	479	96	47	1386	227	469	794	677	2695	85	136	84	341
WBGene00000101	133	61	371	175	35	1256	116	123	43	45	616	86	215	227	375	650	43	171	50	346
WBGene00000105	1703	1245	1004	3310	279	1730	633	1867	148	360	578	580	3843	2062	1117	1584	173	1020	210	2168
WBGene00000109	597	446	378	314	14	950	640	424	136	105	490	76	195	1630	773	436	38	156	29	171
WBGene00000112	729	871	187	691	156	835	402	726	89	186	606	223	1137	1917	889	607	218	373	320	798
WBGene00000113	70	58	101	430	57	555	226	354	38	27	418	170	845	626	361	318	94	166	115	341
WBGene00000117	89	60	117	150	1	396	161	225	8	39	152	38	165	339	168	328	19	127	33	242
WBGene00000122	253	242	261	501	71	995	316	532	48	112	434	131	608	652	431	520	67	403	269	995
WBGene00000123	1309	935	650	2094	284	3413	1100	2802	214	502	1750	460	3455	2266	1776	2023	476	538	971	5523
WBGene00000135	131	80	75	80	0	336	6	12	23	19	363	5	8	30	29	96	1	1183	0	5
WBGene00000138	12	4	167	207	0	253	52	57	15	13	180	45	39	400	90	571	7	18	10	49
WBGene00000140	302	309	1315	1512	104	5504	610	1153	216	158	4946	994	2100	1284	1588	3994	255	881	274	824
WBGene00000148	98	70	173	259	0	316	111	244	13	60	118	37	449	145	167	187	15	223	42	259
WBGene00000149	12730	15856	2833	5586	283	9062	2968	3677	995	2586	3427	2592	4563	3703	5908	9228	424	2732	858	4384
WBGene00000157	89	65	136	151	36	178	99	239	16	58	81	47	743	238	192	258	48	540	119	240
WBGene00000160	718	638	599	971	61	1216	572	788	88	221	554	221	1018	881	850	1186	136	960	325	1594
WBGene00000163	213	145	306	454	3	879	217	446	38	94	481	132	629	308	338	778	20	324	113	855
WBGene00000164	96	94	117	327	33	242	88	200	8	31	91	74	284	128	202	160	36	377	137	522
WBGene00000169	60	52	21	4	0	36	13	23	3	4	17	2	12	27	70	29	11	10	0	16
WBGene00000170	169	250	338	722	171	2648	548	1069	96	244	871	304	332	1330	303	861	139	170	81	410
WBGene00000172	27	12	26	5	0	38	15	11	4	1	10	10	32	156	64	19	4	7	1	17
WBGene00000173	1	0	2	4	0	8	3	4	0	5	3	0	1	2	1	9	0	9	0	0
WBGene00000174	0	2	13	41	0	11	3	3	2	3	13	1	7	11	4	17	1	10	1	0
WBGene00000175	244	261	963	1670	126	2186	776	1301	193	358	812	382	5814	2939	1524	1617	117	7472	450	1504
WBGene00000182	1100	1009	1667	2952	970	4115	2199	3119	164	488	1595	516	6028	4804	3328	1805	387	2513	2125	5869
WBGene00000183	667	675	1354	1308	771	2871	2106	1938	156	223	1070	253	2881	4801	2547	1312	252	1033	579	2167
WBGene00000192	293	326	262	567	104	759	302	753	23	133	250	223	1724	634	488	412	86	893	514	1197
WBGene00000198	81	81	320	440	62	587	602	791	42	104	333	87	792	1257	897	428	104	411	231	749
WBGene00000199	261	295	289	692	166	1078	361	742	60	145	402	133	1125	743	602	451	147	562	331	1352
WBGene00000200	137	150	312	365	134	793	316	430	36	91	276	91	679	1026	447	403	77	521	215	817
WBGene00000201	429	419	201	476	89	1100	336	614	69	110	397	118	1013	814	507	387	113	344	450	1531
WBGene00000203	117	72	93	156	32	203	135	271	13	23	92	48	375	311	167	184	56	136	236	581
WBGene00000206	330	166	262	313	16	493	412	317	44	106	283	102	350	869	617	354	113	212	151	482
WBGene00000207	465	589	600	1011	217	1342	1473	1558	169	212	1181	393	1239	4959	2270	1123	252	605	249	1105
WBGene00000210	147	171	215	405	34	566	333	485	63	138	427	119	292	1131	709	502	106	266	78	301
WBGene00000214	323	474	1458	1251	246	3500	8970	6721	589	535	4195	951	1814	34588	18289	3402	911	637	929	1696
WBGene00000219	206	229	959	642	20	1911	3568	3498	259	268	1427	442	737	9041	6910	1636	479	450	401	962
WBGene00000220	5	4	69	65	13	164	82	192	11	18	110	24	258	325	62	151	3	168	4	179
WBGene00000222	6	9	112	151	0	200	58	135	11	11	57	37	110	141	80	122	11	171	43	204
WBGene00000223	5115	4240	1430	1531	207	2251	924	1570	301	510	767	781	3353	1834	1461	1284	165	1229	451	2796
WBGene00000224	432	352	246	656	43	1033	421	851	62	220	385	148	899	500	771	518	99	474	263	2509
WBGene00000227	74	35	139	102	9	1126	117	89	34	42	548	105	77	346	193	396	22	48	73	194
WBGene00000229	2558	3938	3851	6037	1070	10372	9451	8133	961	1426	7167	1635	6348	25890	15189	5838	1244	3189	1355	6531
WBGene00000230	411	538	672	1072	209	1638	1329	1394	183	319	1149	359	1478	4882	2088	1336	312	570	283	1229
WBGene00000232	93	89	453	687	9	373	98	357	25	65	111	67	132	66	582	547	13	893	25	346
