AFD	AIM	AIN	ASI	AVK	AWB	BAG	PHA	PVM	PVP	PVQ	RIC	RIM	RIS	SMB	VC	Excretory	Hypodermis	Muscle_mesoderm	Intestine	Reproductive	Glia
WBGene00000001	47.0514429109159	14.1583698619276	30.8088556974817	36.358265256269	13.9644800916643	37.8869201722592	21.6878575107762	70.6758733771052	0	49.8917349351906	7.4048513624186	44.8863253809727	24.1016984556167	127.888140506437	60.7527542399209	27.9897031819203	1.21373989978757	6.58859960491933	14.3018826112672	14.2726904556735	21.4759300870534	12.9207698393451
WBGene00000007	0	0.943891324128505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508963793995276	10.7045178417551	0.490662726066246	0.993905372257318
WBGene00000013	0	0	0	0	0	0	0	7.06758733771053	0	0	1.48097027248372	0.863198565018706	0	0	0	0	17.2957935719728	4.00022118870102	1.32330586438772	5.35225892087756	20.7210643546438	29.8171611677195
WBGene00000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0754865732409609	0
WBGene00000023	0	0	0	0	0.358063592093956	6.31448669537653	0	0	0	0	0	1.72639713003741	83.9096168454804	0	0.920496276362438	0	0	0	0	0	4.03853166839141	0
WBGene00000024	0	0.943891324128505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606869949893783	22.5894843597234	0.20358551759811	7.13634522783674	0.264203006343363	4.96952686128659
WBGene00000029	0	0	0	0	0	0	0	0	0	0	1.48097027248372	0	0	0	0	0	0	0	0	0	0.150973146481922	0
WBGene00000034	3.92095357590966	0	0	27.2686989422017	0.358063592093956	6.31448669537653	0	7.06758733771053	0	0	0	0	0	0	0.920496276362438	0	0.303434974946891	25.4131699046888	2.18854431417969	5.35225892087756	2.64203006343363	6.95733760580123
WBGene00000040	3.92095357590966	4.71945662064253	3.08088556974817	5.68097894629202	0	0	0	7.06758733771053	14.1197068748853	0	1.48097027248372	5.17919139011223	3.5706219934247	0	6.44347393453707	5.08903694216734	6.06869949893783	81.4162665465032	14.8108464052625	71.3634522783674	22.3440256793244	42.7379310070647
WBGene00000041	129.391468005019	38.6995442892687	55.455940255467	24.9963073636849	16.470925236322	94.717300430648	70.4855369100225	56.5406987016842	21.1795603123279	34.9242144546335	11.8477621798698	62.1502966813468	82.1243058487681	35.5244834740103	51.0875433381153	30.534221653004	22.7576231210168	32.2370766383553	102.607100869448	48.170330287898	101.378467862611	47.7074578683513
WBGene00000045	3.92095357590966	0	3.08088556974817	2.27239157851681	0	0	0	0	0	0	1.48097027248372	5.17919139011223	642.711958816446	0	0.460248138181219	0.848172823694556	0	0.235307128747119	0.0508963793995276	1.78408630695919	0	2.98171611677195
WBGene00000049	0	0	0	2.27239157851681	0	0	0	0	0	0	0	0	0	0	0.460248138181219	1.69634564738911	0.606869949893783	0.941228514988476	0.458067414595748	1.78408630695919	0.0377432866204805	0.993905372257318
WBGene00000051	39.2095357590966	18.8778264825701	83.1839103832006	6.81717473555043	49.7708393010599	0	43.3757150215523	0	134.13721531141	39.9133879481525	37.024256812093	37.1175382958043	99.0847603175354	63.9440702532185	162.46759277797	139.948515909602	0	7.52982811990781	0.20358551759811	1.78408630695919	1.47198817819874	10.9329590948305
WBGene00000053	3.92095357590966	3.77556529651402	0	3.40858736777521	0	0	16.2658931330821	0	0	54.8809084287097	2.96194054496744	4.31599282509353	5.35593299013705	0	0.920496276362438	1.69634564738911	0	4.9414497036895	0.0508963793995276	1.78408630695919	0.150973146481922	2.98171611677195
WBGene00000063	70.5771643663739	40.5873269375257	129.397193929423	63.6269641984707	25.4225150386709	31.5724334768827	43.3757150215523	14.1351746754211	7.05985343744264	84.8159493898241	14.8097027248372	50.0655167710849	49.9887079079458	213.146900844062	156.944615119796	100.084393195958	8.79961427345985	111.06496476864	3118.93012960305	92.7724879618776	588.606554846393	326.0009621004
WBGene00000064	98.0238393977415	248.243418245797	412.838666346255	246.554486269074	112.790031509596	239.950494424308	276.520183262396	169.622096105053	487.129887183542	229.501980701877	229.550392234977	236.516406815125	230.305118575893	589.706425668571	492.925755992086	198.472440744526	55.5286004152811	165.185604380478	274.535070481052	44.6021576739796	1009.78389024433	280.281314976564
WBGene00000065	90.1819322459222	135.920350674505	197.176676463883	56.8097894629203	79.4901174448582	69.4593536491419	92.1733944207987	77.7434607148158	14.1197068748853	144.686031312053	79.9723947141209	105.310224932282	88.3728943372613	134.993037201239	244.852009512409	329.091055593488	53.101120615706	117.888871502307	1682.17623553379	71.3634522783674	963.359647701143	218.65918189661
WBGene00000066	2548.61982434128	1090.19447936842	3459.83449482719	1187.32459977503	1261.8160985391	1464.96091332736	1772.98235150595	1675.01819903739	698.925490306821	6550.78479699053	802.685887686176	1567.56859407397	1147.95497088604	1484.92340921363	4412.85914888153	3182.34443450197	568.940578025421	1060.99984352076	9538.94853068006	362.169520312715	5039.67234599965	2574.21491414645
WBGene00000075	0	0	6.16177113949634	1.13619578925841	0	0	0	0	0	0	0	11.2215813452432	0.892655498356175	0	1.38074441454366	0	1.51717487473446	2.35307128747119	2.54481896997638	3.56817261391837	2.67977335005411	0
WBGene00000080	7.84190715181932	7.55113059302804	9.2426567092445	20.4515242066513	8.23546261816099	12.6289733907531	27.1098218884702	28.2703493508421	14.1197068748853	14.9675204805572	13.3287324523535	29.348751210636	16.0677989704112	7.10489669480206	16.5689329745239	32.2305673003931	1.21373989978757	5.41206396118374	14.3018826112672	12.4886041487143	40.3853166839141	21.865918189661
WBGene00000081	0	0.943891324128505	3.08088556974817	1.13619578925841	0.358063592093956	0	0	0	7.05985343744264	0	0	0	1.78531099671235	0	1.84099255272488	5.93720976586189	0	3.7649140599539	0.407171035196221	342.544570936164	0.490662726066246	5.96343223354391
WBGene00000095	19.6047678795483	25.4850657514696	36.970626836978	22.7239157851681	23.2741334861071	37.8869201722592	21.6878575107762	7.06758733771053	7.05985343744264	19.9566939740763	23.6955243597395	35.3911411657669	8.92655498356175	21.3146900844062	24.8533994617858	17.8116292975857	0.303434974946891	12.0006635661031	11.960649158889	10.7045178417551	5.2085735536263	32.7988772844915
WBGene00000097	1407.62233375157	365.285942437731	915.023014215206	3817.61785190824	1371.02549412776	985.059924478739	563.88429528018	1038.93533864345	1588.46702342459	7478.77106678508	639.779157712967	624.955761073543	707.875810196447	404.979111603717	1900.82481068843	343.509993596295	289.173531124387	290.839611131439	218.65084590037	144.510990863694	43.1405766072092	927.313712316078
